property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,ambience creacions,sector 22,3.99 Crore,12912.0,Super Built up area 3090(287.07 sq.m.),3.0,5.0,,3.0,,New Property,,,,,0,1,0,0,0,2,102
flat,ss the leaf3.8 ?,sector 85,2 Crore,8305.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3.0,4.0,3.0,6.0,North,Relatively New,,,,,0,1,0,0,0,0,49
flat,experion windchants3.8 ?,sector 112,5.31 Crore,11204.0,Super Built up area 4739(440.27 sq.m.)Built Up area: 3573.33 sq.ft. (331.97 sq.m.)Carpet area: 3400 sq.ft. (315.87 sq.m.),4.0,6.0,,15.0,South,Relatively New,,,,,0,1,0,1,0,0,72
house,independent,sector 105,0.65,9028.0,Plot area 80(66.89 sq.m.),3 Bedrooms,2.0,1,1.0,East,Relatively New,720.0,,720.0,,0,0,0,1,1,0,14
flat,shree vardhman victoria3.8 ?,sector 70,1.65 Crore,8461.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1267 sq.ft. (117.71 sq.m.),3.0,4.0,3.0,1.0,North,Relatively New,,,,,0,1,0,0,0,2,167
house,emaar mgf marbella,sector 66,19.0,31666.0,Plot area 9000(836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),5 Bedrooms,6.0,3+,3.0,North-East,Relatively New,6000.0,,9000.0,,0,1,1,1,0,1,110
flat,shapoorji pallonji joyville gurugram4.0 ?,sector 102,1.77 Crore,9195.0,Super Built up area 1827(169.73 sq.m.),3.0,3.0,3.0,1.0,North-East,Relatively New,,,,,0,0,0,0,0,0,151
flat,ats triumph3.9 ?,sector 104,1.85 Crore,8078.0,Super Built up area 2290(212.75 sq.m.),3.0,3.0,,24.0,East,Relatively New,,,,,0,1,0,0,0,0,174
house,bptp visionnaire,sector 70a,5.35,8916.0,Built Up area: 6000 (557.42 sq.m.),4 Bedrooms,4.0,3+,3.0,North,Relatively New,6000.0,,,,1,1,1,1,0,1,160
flat,tulip violet4.2 ?,sector 69,1.29 Crore,8227.0,Super Built up area 1568(145.67 sq.m.),3.0,3.0,1.0,12.0,North-East,Relatively New,,,,,0,0,0,1,0,1,86
flat,tulip petals3.6 ?,sector 89,1.55 Crore,10000.0,Super Built up area 1550(144 sq.m.),3.0,2.0,3.0,6.0,East,Moderately Old,,,,,0,0,1,0,0,1,111
house,tata primanti4.1 ?,sector 72,8.6,12285.0,Built Up area: 7000 (650.32 sq.m.),4 Bedrooms,5.0,3+,3.0,,Relatively New,7000.0,,,,0,0,0,0,0,1,30
flat,vatika gurgaon 213.7 ?,sector 83,1.4 Crore,6628.0,Super Built up area 1735(161.19 sq.m.),3.0,3.0,2.0,7.0,,Relatively New,,,,,0,0,0,0,0,1,74
flat,hero homes,sector 104,1.75 Crore,10361.0,Super Built up area 1689(156.91 sq.m.),3.0,3.0,3.0,2.0,,Undefined,,,,,0,0,0,0,0,0,30
house,independent,sector 39,1.6,17937.0,Plot area 892(82.87 sq.m.),1 Bedroom,1.0,2,2.0,,Old Property,892.0,,892.0,,0,0,0,0,0,0,40
flat,signature global solera3.7 ?,sector 107,28.5 Lac,5828.0,Carpet area: 489 (45.43 sq.m.),2.0,2.0,2.0,0.0,North-East,Relatively New,,,,,0,0,0,0,0,0,45
flat,signature global park4.0 ?,sohna road,95 Lac,7846.0,Built Up area: 1210.73 (112.48 sq.m.)Carpet area: 756.6 sq.ft. (70.29 sq.m.),3.0,2.0,,1.0,,Relatively New,,,,,0,0,0,0,0,0,46
flat,mapsko paradise3.9 ?,sector 83,95 Lac,6300.0,Carpet area: 1340 (124.49 sq.m.),3.0,3.0,3.0,1.0,,Moderately Old,,,,,0,0,0,0,0,0,0
house,international city by sobha phase 2,sector 109,9.5,26389.0,Plot area 400(334.45 sq.m.),5 Bedrooms,5.0,3+,2.0,South,Relatively New,3600.0,,3600.0,,1,1,1,1,0,0,133
flat,unitech south park,sector 70,1.13 Crore,7000.0,Super Built up area 1610(149.57 sq.m.),3.0,3.0,2.0,1.0,,Undefined,,,,,0,0,0,0,0,0,46
house,bptp visionnaire,sector 70a,4.02,7309.0,Built Up area: 5500 (510.97 sq.m.),4 Bedrooms,4.0,3+,3.0,North-East,Relatively New,5500.0,,,,1,1,1,1,0,0,138
flat,ireo the corridors,sector 67a,1.6 Crore,9264.0,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),3.0,3.0,2.0,3.0,North,New Property,,,,,0,0,1,0,0,1,142
flat,dlf regal gardens3.9 ?,sector 90,1.15 Crore,6325.0,Super Built up area 1818(168.9 sq.m.),3.0,3.0,,18.0,North-West,Relatively New,,,,,0,0,0,1,0,1,130
flat,puri emerald bay3.7 ?,sector 104,1.58 Crore,9117.0,Super Built up area 1700(157.94 sq.m.),2.0,3.0,3.0,11.0,North-East,Relatively New,,,,,0,1,0,0,0,0,101
flat,mvn athens3.7 ?,sohna road,24 Lac,7056.0,Carpet area: 340.09 (31.6 sq.m.),1.0,1.0,1.0,12.0,West,Relatively New,,,,,0,0,0,0,0,0,66
flat,sidhartha ncr one phase 14.2 ?,sector 95,60 Lac,4800.0,Built Up area: 1250 (116.13 sq.m.),2.0,2.0,3.0,10.0,North-East,Undefined,,,,,0,0,0,0,0,0,0
flat,tulip violet4.2 ?,sector 69,1.19 Crore,8814.0,Carpet area: 1350 (125.42 sq.m.),2.0,3.0,1.0,0.0,West,Relatively New,,,,,1,0,0,0,0,1,174
flat,orchid petals4.1 ?,sector 49,2.23 Crore,10969.0,Super Built up area 2033(188.87 sq.m.),3.0,3.0,3.0,14.0,North,Relatively New,,,,,0,0,0,0,1,0,40
house,independent,sector 57,3.5,21605.0,Plot area 180(150.5 sq.m.),4 Bedrooms,4.0,3+,3.0,South,Old Property,1620.0,,1620.0,,0,0,1,0,0,1,67
flat,unitech the palms,sector 41,2.75 Crore,16768.0,Super Built up area 1640(152.36 sq.m.),3.0,3.0,2.0,14.0,,Old Property,,,,,0,0,0,0,0,2,79
flat,unitech vistas,sector 70,52.56 Lac,4800.0,Super Built up area 1095(101.73 sq.m.),2.0,2.0,2.0,9.0,,Undefined,,,,,0,0,0,0,1,0,24
flat,m3m merlin3.7 ?,sector 67,2.8 Crore,13678.0,Super Built up area 2047(190.17 sq.m.)Carpet area: 1880 sq.ft. (174.66 sq.m.),3.0,3.0,3.0,5.0,North-East,Moderately Old,,,,,0,1,0,0,0,2,26
